,L2distance,numneighbour,maxdistance,maxradius,nparticles,stickiness
0,84.6712573202,2.6219623607,8.3130772757,0.0248107643,5700,0.7723643697
1,84.0712738115,2.64756879,8.2565922445,0.0253266969,5640,0.8386924089
2,74.7616123075,3.1141692151,7.7509549136,0.0221221825,5890,0.2740833142
3,76.360533607,2.8918512955,7.7228319244,0.0248371525,5330,0.3573447806
4,85.7262295013,2.5099981655,8.2782291122,0.0250586756,5730,0.9453789569
5,81.5972182937,2.7712968531,8.0280002075,0.028004229,5050,0.5794671355
6,83.4528909747,3.0278446201,8.1463917697,0.0238098183,5910,0.4112850323
7,66.3400871859,3.4646853147,7.3499559963,0.0193496011,5720,0.1233256995
8,77.5728754551,2.9963874075,7.9565307922,0.0226582214,5870,0.3528991758
9,86.0816955673,2.5994076268,8.2737435024,0.0238473527,5960,0.8915199436
10,83.6966598003,2.6,8.1488285547,0.0276754122,5110,0.7936635218
11,81.6634982654,2.8101035799,8.0863839675,0.0256898507,5560,0.5145087746
12,75.4587781423,2.805241215,7.8916878641,0.0266275896,5050,0.4637280184
13,80.6879454387,2.7478698683,8.0455591765,0.0255944039,5360,0.6707435602
14,77.2238255164,3.0602282704,7.8073039349,0.0244780219,5720,0.2910381354
15,83.4186870919,2.9207197577,8.2234082506,0.0236776275,5770,0.4946583429
16,83.3593074592,2.4997927891,8.2493390962,0.0280889767,5060,0.927933935
17,80.4118062499,2.7336906302,8.0017092981,0.0256858866,5480,0.5314067235
18,73.0251754804,3.0712030866,7.6713216415,0.0216625514,5710,0.2507211765
19,73.7811959374,3.2030252101,7.6536694116,0.0216761118,5950,0.2077617309
20,81.0603110468,2.7116759333,8.0651635191,0.0271764989,5100,0.6160261866
21,85.9665926075,2.7525904381,8.3596119624,0.0240442912,5970,0.7881996337
22,82.6200051104,2.7107555556,8.2560792417,0.0237715255,5890,0.7603232238
23,81.2650359925,2.6427591613,8.1775803212,0.0258555678,5280,0.7741695699
24,85.9400609525,2.6990434143,8.3389385123,0.024212985,5870,0.8246771714
25,84.149472365,2.7175491411,8.2725401901,0.0239656996,5960,0.7443210426
26,82.5127714857,2.4826262238,8.184438033,0.0252532182,5410,0.9339807629
27,67.8312593486,3.1794258373,7.4421613494,0.0226575565,5020,0.2238279356
28,82.9830966505,2.7671798723,8.092580618,0.026010356,5410,0.5676877605
29,83.6687370249,2.5597690087,8.240828892,0.025609049,5550,0.9117014065
30,84.9159733733,2.799638009,8.2698821168,0.0239267288,5970,0.7045555321
31,87.3379690424,2.6138909634,8.3941705118,0.0238874323,5950,0.9227086895
32,83.6862985088,2.6702442635,8.185239735,0.0248830171,5600,0.7263995541
33,72.810011139,3.1047148155,7.6181609644,0.0231282774,5670,0.2399278267
34,74.8082239927,2.8466548253,7.720228888,0.0266389046,5070,0.4249986046
35,75.3983281268,2.9385895404,7.7999070456,0.0257813902,5080,0.3982439981
36,84.3533078295,2.5558946967,8.3135795378,0.0251354748,5600,0.9144170287
37,83.6128250245,2.4814186003,8.2324281377,0.0251728133,5590,0.9475458721
38,82.5457648411,2.8703966006,8.1429008515,0.0237345114,5750,0.514771897
39,80.7005128085,2.8520790729,8.0577224832,0.0238675292,5930,0.4800187429
